タイムスタンプ	メールアドレス	氏名	部署・チーム	一度やると決めたことは、多少しんどくても最後までやり切る。	話が決まらない場面では、自分が結論を出しにいく。	相手の表情や声の調子から、気持ちの変化に気づく。	知らない分野の話でも、その仕組みを理解したくなる。	仕事に取りかかる前に、手順とスケジュールを組み立てる。	初対面の相手とも、比較的すぐに打ち解けられる。	約束したことは、小さなことでも守る。	既存のやり方に対して、別の選択肢はないかとよく考える。	決める前に、想定されるリスクを一通り洗い出す。	自分の考えを、相手に伝わる言葉に置き換えるのが得意だ。	人が成長していく姿を見るのが、純粋に嬉しい。	目の前の作業より、全体がどこへ向かうかが気になる。	目標が数字で示されると、俄然やる気が出る。	責任を伴う役割を任されることに、抵抗はない。	相手が言葉にしていない不満や不安を察することがある。	業務に直結しなくても、興味を持ったことは調べる。	資料やデータは、後から探しやすい状態に整理してある。	社外の人と会う機会を、自分から作りにいく。	自分に非があるときは、素直に認めて伝える。	会議では、思いついた案を出す側になることが多い。	数字や事実の裏づけがないまま進めるのは気持ちが悪い。	人前で話すことに苦手意識はない。	自分が持っている知識やノウハウは、惜しまず共有する。	数年後を想像しながら、今の意思決定を考える。	手ごたえのない状態が続くと、落ち着かなくなる。	反対されても、必要だと思えば自分の意見を主張する。	相手の立場に立って考えることが、自然にできる。	新しいツールや手法は、まず自分で試してみる。	締切から逆算して、いつ何を終わらせるかを先に決めている。	面識のない相手にも、必要であれば自分から連絡を取る。	対立する意見の間に立って、着地点を探す役割になることが多い。	一見関係のないもの同士を結びつけて考えるのが好きだ。	重要な連絡は、送る前に必ず読み返す。	説明するときは、具体例やたとえを使うことが多い。	相手の力量に合わせて、任せる範囲を変えている。	複数の選択肢を並べて、どの道筋が最短かを見極めようとする。	途中で興味が薄れると、そのまま手をつけずに放置してしまうことが多い。	議論の場では、まとめ役より聞き役に回ることが多い。	人の気持ちの細かな動きには、あまり関心が向かない。	必要以上に深く調べることには、あまり意味を感じない。	計画を立てるより、まず動き出すほうが性に合っている。	大人数が集まる場は、できれば避けたい。	人を信用するまでには、かなり時間がかかるほうだ。	前例のあるやり方をなぞるほうが安心する。	細かい確認よりも、勢いで進めることを優先しがちだ。	自分の考えを言葉にするのに、時間がかかるほうだ。	人を育てることより、自分が成果を出すことのほうが優先だ。	長期の見通しより、当面の課題に集中したい。	負荷の高い時期のほうが、自分は力を発揮できていると感じる。	誰も動かない状況では、自分が先に動く。	落ち込んでいる人がいると、放っておけない。	なぜそうなるのかが分かるまで、気になり続ける。	複数の案件が並行しても、優先順位をつけて捌ける。	人と人をつなぐことで物事が動くのが面白い。	立場が違う相手にも、態度を変えずに接する。	制約がある状況ほど、面白い工夫が生まれると思う。	うまくいかなかったときの代替案を、あらかじめ考えておく。	自分の話し方で、その場の空気を変えられると思う。	相談に乗る役を頼まれることが多い。	断片的な情報から、全体像を組み立てるのが得意だ。
2026/09/01 09:12:00	sample1@example.com	サンプル 一郎	仲介事業部	3	4	3	3	3	3	3	5	3	5	3	4	3	5	4	3	3	3	3	4	2	4	3	3	3	4	3	3	2	4	4	5	2	4	4	3	3	2	4	4	4	3	3	1	2	1	3	3	3	4	4	3	4	3	3	4	2	5	2	4
2026/09/01 11:13:00	sample2@example.com	サンプル 花子	HR Div	3	3	5	4	2	3	4	3	3	2	4	2	4	3	5	4	4	3	5	3	3	2	4	2	2	3	4	2	3	4	4	3	3	3	4	3	3	3	2	2	3	4	1	3	2	2	2	4	2	3	4	4	3	3	5	4	4	2	4	3
2026/09/01 13:14:00	sample3@example.com	サンプル 次郎	PD	2	2	3	5	3	3	3	4	4	3	2	4	3	4	4	5	3	2	2	4	5	3	3	4	2	3	3	4	2	2	2	3	4	4	3	4	4	3	3	1	3	3	4	3	2	3	2	2	3	2	4	4	3	2	4	3	4	2	2	5
2026/09/02 09:15:00	sample4@example.com	サンプル 美咲	仲介事業部	5	5	2	3	3	4	3	4	4	3	3	3	4	5	3	2	2	4	3	3	3	3	2	3	5	5	4	3	4	4	3	3	3	4	3	2	2	1	3	3	2	1	3	3	3	3	3	3	5	5	2	3	2	4	4	3	3	2	3	3
2026/09/02 11:16:00	sample5@example.com	サンプル 健太	金融事業部	4	2	4	4	4	3	3	3	4	3	3	4	5	3	3	2	5	3	3	4	4	3	2	3	4	2	2	2	4	2	2	4	4	3	3	3	2	3	4	3	1	3	3	2	1	3	2	4	5	3	2	4	5	2	3	3	4	3	3	4
2026/09/02 13:17:00	sample6@example.com	サンプル 玲奈	HR Div	2	3	3	3	1	4	2	4	3	5	4	5	2	3	2	4	4	2	3	2	3	5	4	4	3	3	4	4	3	4	2	2	2	5	4	5	3	4	4	3	2	3	3	3	3	2	1	1	3	3	3	4	3	3	3	3	3	4	4	4
2026/09/03 09:18:00	sample7@example.com	サンプル 大輔	建築事業部	3	5	3	3	4	3	4	4	4	4	2	4	2	4	4	4	2	3	3	4	3	3	4	4	4	4	3	2	4	3	3	4	4	3	3	5	4	2	3	5	3	2	2	2	4	3	4	1	3	4	2	3	3	4	2	4	2	3	4	4
2026/09/03 11:19:00	sample8@example.com	サンプル 結衣	キャリア事業部	3	3	5	4	3	4	3	2	3	4	2	4	3	3	4	1	2	4	3	3	3	4	2	3	3	4	5	3	3	4	2	4	3	5	3	3	3	4	1	4	4	1	3	2	4	2	4	3	3	3	5	2	2	5	2	3	3	5	2	3
2026/09/03 13:20:00	sample9@example.com	サンプル 翔太	PD	4	3	3	5	4	3	2	3	5	2	2	2	3	2	3	4	5	4	2	3	5	3	2	4	3	3	3	4	4	4	2	3	4	3	4	3	2	4	3	1	1	3	4	2	2	4	4	4	3	3	3	4	5	4	2	2	5	3	4	3
2026/09/04 09:21:00	sample10@example.com	サンプル 彩	仲介事業部	4	4	3	3	3	2	5	3	4	3	4	3	4	5	3	4	3	3	4	3	3	3	2	2	5	5	3	3	3	4	4	2	3	3	3	3	2	1	3	3	2	2	2	3	3	3	3	4	4	4	3	4	3	3	4	2	2	3	3	2
